echelle,seuils,falaise_pas,n_ban,e3_restr_med,e3_ban_med,e3_evasion_bloquee,e3_bannis,p0.001_resserre,p0.001_dma_bloque,p0.001_banni,p0.005_resserre,p0.005_dma_bloque,p0.005_banni,p0.02_resserre,p0.02_dma_bloque,p0.02_banni
0.5,1/3/8/13/18/26/36/43/50,,59,3.0,3.0,0.923,1.0,0.3704,0.3703,0.64,0.7869,0.7867,1.0,0.9458,0.9453,1.0
0.75,1/4/12/20/27/38/53/64/75,13,12,3.0,7.0,0.92,1.0,0.3645,0.3645,0.626,0.7823,0.7821,1.0,0.9449,0.9444,1.0
1.0,1/6/16/26/36/51/71/86/100,11,8,3.0,11.0,0.87,1.0,0.0126,0.0034,0.004,0.1698,0.1351,0.266,0.7679,0.733,0.988
1.5,2/9/24/39/54/76/106/129/150,0,4,7.0,18,0.806,0.992,0.0018,0.0016,0.002,0.0326,0.031,0.06,0.4143,0.3999,0.702
2.0,2/12/32/52/72/102/142/172/200,0,3,9.0,29.0,0.683,0.918,0.0,0.0,0.0,0.0007,0.0,0.0,0.0572,0.0438,0.092
